"N","i","e"
10,0,0.0584073464102071
10,1,0.0584073464102071
10,2,-0.7415926535897932
10,3,0.0584073464102071
10,4,0.8584073464102069
10,5,0.4584073464102070
10,6,-0.3415926535897933
10,7,0.4584073464102070
10,8,-0.7415926535897932
10,9,0.0584073464102071
10,10,0.0584073464102071
10,11,0.0584073464102071
10,12,0.4584073464102070
10,13,-0.3415926535897933
10,14,0.4584073464102070
10,15,-0.3415926535897933
100,0,-0.0215926535897930
100,1,-0.0215926535897930
100,2,-0.0615926535897930
100,3,0.0984073464102071
100,4,0.0584073464102071
100,5,-0.1415926535897931
100,6,0.2584073464102068
100,7,-0.1815926535897932
100,8,-0.0615926535897930
100,9,-0.0615926535897930
100,10,-0.1815926535897932
100,11,0.0584073464102071
100,12,0.0584073464102071
100,13,0.2984073464102068
100,14,0.1384073464102067
100,15,-0.0615926535897930
1000,0,-0.0095926535897930
1000,1,-0.0095926535897930
1000,2,-0.0455926535897930
1000,3,0.0184073464102070
1000,4,0.0264073464102070
1000,5,-0.0135926535897930
1000,6,-0.0735926535897931
1000,7,-0.0495926535897930
1000,8,0.0384073464102070
1000,9,-0.1415926535897931
1000,10,-0.0975926535897931
1000,11,0.0544073464102071
1000,12,0.0584073464102071
1000,13,0.0704073464102071
1000,14,-0.0055926535897930
1000,15,0.0024073464102070
10000,0,0.0296073464102067
10000,1,0.0296073464102067
10000,2,0.0160073464102068
10000,3,0.0108073464102070
10000,4,-0.0063926535897929
10000,5,0.0332073464102067
10000,6,-0.0171926535897930
10000,7,0.0068073464102070
10000,8,-0.0039926535897932
10000,9,-0.0155926535897932
10000,10,0.0064073464102070
10000,11,-0.0019926535897929
10000,12,-0.0387926535897933
10000,13,-0.0131926535897930
10000,14,0.0180073464102071
10000,15,-0.0195926535897932
100000,0,-0.0000726535897932
100000,1,-0.0000726535897932
100000,2,-0.0077526535897929
100000,3,-0.0011926535897930
100000,4,-0.0023526535897931
100000,5,0.0088873464102068
100000,6,0.0037273464102068
100000,7,-0.0041126535897931
100000,8,-0.0029926535897933
100000,9,0.0008073464102067
100000,10,-0.0001126535897931
100000,11,-0.0007526535897933
100000,12,-0.0019126535897933
100000,13,0.0040073464102068
100000,14,-0.0046326535897929
100000,15,-0.0021926535897929
1000000,0,0.0000713464102069
1000000,1,0.0000713464102069
1000000,2,0.0022313464102068
1000000,3,-0.0011166535897931
1000000,4,0.0015793464102067
1000000,5,-0.0001366535897933
1000000,6,0.0010513464102071
1000000,7,-0.0023286535897933
1000000,8,0.0025433464102069
1000000,9,-0.0016926535897932
1000000,10,0.0016873464102067
1000000,11,0.0018393464102067
1000000,12,0.0004633464102071
1000000,13,0.0006633464102070
1000000,14,-0.0024166535897931
1000000,15,-0.0000926535897929
10000000,0,-0.0004626535897931
10000000,1,-0.0004626535897931
10000000,2,0.0003089464102071
10000000,3,-0.0005766535897931
10000000,4,0.0006525464102070
10000000,5,0.0012077464102069
10000000,6,-0.0000350535897931
10000000,7,-0.0002082535897929
10000000,8,0.0001357464102067
10000000,9,-0.0009802535897929
10000000,10,0.0003397464102068
10000000,11,0.0002949464102069
10000000,12,0.0006985464102067
10000000,13,0.0000701464102071
10000000,14,0.0001449464102068
10000000,15,-0.0005238535897929
100000000,0,0.0001052664102068
100000000,1,0.0001052664102068
100000000,2,0.0001001464102068
100000000,3,0.0001604664102071
100000000,4,-0.0000099335897930
100000000,5,0.0005797864102068
100000000,6,0.0000234264102068
100000000,7,-0.0001235335897931
100000000,8,-0.0000060935897932
100000000,9,-0.0001660935897929
100000000,10,0.0000783464102070
100000000,11,0.0001391064102068
100000000,12,0.0002037064102067
100000000,13,-0.0002645335897933
100000000,14,0.0001705864102068
100000000,15,-0.0000622135897932
